stock_code,company_name,announcement_date,listing_date,lock_length_months,issue_price,reference_price,discount_pct,shares_issued,amount_raised_cny,issue_objects,source
000697,ST炼石,2011-12-31,2012-01-20,24.0,2.24,11.5812,80.6583,294481830.0,659639299.0,向关联方张政、徐跃东、四川恒康资产管理有限公司、深圳市汇世邦科技有限公司、深圳市奥格立电子科技有限公司、陕西力加投资有限公司及浦伟杰、楼允、王林、咸阳市能源开发投资有限公司等10名特定投资者非公开发行股份,eastmoney
600757,长江传媒,2011-12-31,2012-01-18,36.0,5.2,6.0421,13.9372,487512222.0,2535063558.04,湖北长江出版传媒集团有限公司,eastmoney
600855,航天长峰,2011-12-29,2011-12-30,36.0,9.02,7.9594,-13.3251,39013425.0,351901100.0,向控股东东防御院非公开发行,eastmoney
002131,利欧股份,2011-12-28,2012-01-19,36.0,14.58,1.181,-1134.547,18524353.0,270085100.0,向欧亚云、欧亚峰、罗兵辉、李洪辉、朱平正、胡观辉、周海蓉、吴波、郭华定和瑞鹅投资等10名特定投资者非公开发行,eastmoney
002033,丽江股份,2011-12-28,2012-01-16,36.0,16.69,6.6137,-152.355,12584909.0,210042100.0,向关联方丽江市玉龙雪山景区投资管理有限公司非公开发行股份,eastmoney
000422,湖北宜化,2011-12-23,2012-01-20,24.0,19.3,11.61,-66.236,84300000.0,1626990000.0,"向控股股东湖北宜化集团有限责任公司,向西安长科投资管理有限合伙企业、北京恒丰融升股权投资中心(有限合伙)、北京盛世美林投权投资中心(有限合伙)等4名特定投资者非公开发行股份",eastmoney
002204,大连重工,2011-12-19,2011-12-27,36.0,25.29,5.496,-360.1528,215193341.0,5442239593.89,向控股股东大连重工·起重集团有限公司非公开发行股份,eastmoney
600449,宁夏建材,2011-12-19,2011-12-21,36.0,22.13,7.5643,-192.5585,113775543.0,2517852767.0,向中国中材股份有限公司非公开发行股份吸收合并建材集团,eastmoney
000560,我爱我家,2011-12-15,2011-12-28,36.0,10.47,2.556,-309.6244,30128662.0,315447100.0,向关联方西南商业大厦股份有限公司非公开发行股份,eastmoney
600699,均胜电子,2011-12-13,2011-12-16,36.0,4.3,6.2603,31.3132,206324766.0,887196499.0,向控股股东均胜集团及其一直行动人安泰科技、骆建强非公开发行,eastmoney
